Common Name,Botanical Name,Plant Type,Mature Size (H x W),Sun Requirements,Water Needs,Soil Preferences,Bloom Time & Color,Fall Color,Wildlife Value,Special Features,Landscape Use,Maintenance Level,SC Native,Guide Category,Photo URL
Boxwood,Buxus spp.,Evergreen Shrub,2-6' x 2-6',Part Shade,Moderate,Well-drained,Evergreen form,Evergreen,Cover,"Deer resistant, formal structure","Hedges, edging, containers",Medium,No,12. Deer Resistant,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Buxus_sempervirens.jpg/960px-Buxus_sempervirens.jpg
Cast Iron Plant,Aspidistra elatior,Ground Cover,1-2.5',Shade to Deep Shade,Moderate to Low,Adaptable,Minor,Evergreen,Low,"Nearly indestructible, deer resistant",Deep shade structure,Low,No,12. Deer Resistant,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Aspidistra_elatior1.jpg/960px-Aspidistra_elatior1.jpg
Christmas Fern,Polystichum acrostichoides,Perennial,1-2',Part Shade to Shade,Moderate,"Organic-rich, well-drained",Non-flowering (fern),Evergreen,Cover habitat,"Native, evergreen fern, deer resistant",Woodland plantings,Low,Yes,12. Deer Resistant,https://upload.wikimedia.org/wikipedia/commons/5/57/Polystichum_setiferum0.jpg
Autumn Fern,Dryopteris erythrosora,Perennial,1-3',Part Shade to Shade,Moderate to Low,"Organic, well-drained",Non-flowering (fern),Semi-evergreen,Cover habitat,"Coppery new fronds, deer resistant",Shade borders,Low,No,12. Deer Resistant,https://upload.wikimedia.org/wikipedia/commons/4/40/Dryopteris_filix_mas_nf.jpg
Yarrow,Achillea spp.,Perennial,1-3',Full Sun to Part Shade,Low,Well-drained,"Summer; flat umbels, many colors",Minimal,Pollinators,"Drought-tough, deer resistant","Meadows, borders",Low,No,12. Deer Resistant,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Achillea_millefolium.jpg/960px-Achillea_millefolium.jpg
Russian Sage,Perovskia atriplicifolia,Perennial,3-5',Full Sun,Low,Well-drained,Summer; lavender-blue,Minimal,Pollinators,"Heat/drought tolerant, deer resistant",Sunny borders,Low,No,12. Deer Resistant,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Perovskia_atriplicifolia_3.jpg/960px-Perovskia_atriplicifolia_3.jpg
Lamb's Ear,Stachys byzantina,Perennial,6-8 in. foliage,Full Sun to Part Shade,Low to Moderate,Well-drained,Late spring; purple spikes,Silver foliage,Pollinators,"Silvery texture, deer resistant","Edging, sensory gardens",Low,No,12. Deer Resistant,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/20130703Stachys_sylvatica1.jpg/960px-20130703Stachys_sylvatica1.jpg
Purple Coneflower,Echinacea purpurea,Perennial,2-4',Full Sun,Moderate to Low,Well-drained,Summer; purple daisies,Minimal,"Pollinators, birds","Native, tough, deer resistant","Sunny borders, pollinator beds",Low,Yes,12. Deer Resistant,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Echinacea_purpurea_Grandview_Prairie.jpg/960px-Echinacea_purpurea_Grandview_Prairie.jpg
Butterfly Weed,Asclepias tuberosa,Perennial,1-3',Full Sun,Low,Well-drained,Summer; orange,Minimal,Monarch host,"Native, deer resistant, drought tolerant",Pollinator gardens,Low,Yes,12. Deer Resistant,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Asclepias_tuberosa_interior.jpg/960px-Asclepias_tuberosa_interior.jpg
Hellebore / Lenten Rose,Helleborus x hybridus,Perennial,1-2',Part Shade to Shade,Moderate,Well-drained + organic,Late winter-spring; many colors,Evergreen,Early pollinators,"Deer resistant, winter bloom, evergreen","Shade borders, winter interest",Low,No,12. Deer Resistant,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Bloem_van_een_kerstroos_%28Helleborus_niger%29_16-12-2021._%28d.j.b%29_02.jpg/960px-Bloem_van_een_kerstroos_%28Helleborus_niger%29_16-12-2021._%28d.j.b%29_02.jpg
Catmint,Nepeta x faassenii,Perennial,1-2' x 2-3',Full Sun,Low,Well-drained,Late spring-summer; lavender-blue,Minimal,Pollinators,"Aromatic, highly deer resistant","Edging, massing",Low,No,12. Deer Resistant,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Nepeta_faassenii6.jpg/960px-Nepeta_faassenii6.jpg
Yaupon Holly,Ilex vomitoria,Evergreen Shrub,3-15',Full Sun to Part Shade,Low to Moderate,Adaptable,Red berries on females,Evergreen,Birds,"Native, highly deer resistant","Screen, specimen",Low,Yes,12. Deer Resistant,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Ilex_vomitoria.jpg/960px-Ilex_vomitoria.jpg
Creeping Phlox,Phlox subulata,Ground Cover,6 in. x 24 in.,Full Sun,Low,Very well-drained,Spring; pink/white/purple,Evergreen,Pollinators,"Drought tolerant, slopes","Slopes, rock gardens",Low,No,13. Drought Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Shibazakura.JPG/960px-Shibazakura.JPG
Sedum / Stonecrop,Sedum spp.,Perennial,3-24 in.,Full Sun,Low,"Very well-drained, lean",Summer/fall; pink/yellow/white,Varies,Pollinators,"Succulent, extremely drought tolerant","Hot edges, rock beds",Low,No,13. Drought Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Sedum_acre_single_-_Niitv%C3%A4lja.jpg/960px-Sedum_acre_single_-_Niitv%C3%A4lja.jpg
Creeping Thyme,Thymus serpyllum,Ground Cover,1-4 in.,Full Sun,Low,Very well-drained,Summer; pink/purple,Semi-evergreen,Pollinators,"Aromatic, drought tolerant stepper","Pavers, edging",Low,No,13. Drought Tolerant,https://upload.wikimedia.org/wikipedia/commons/1/18/Thymus_serpyllum1.jpg
Lantana,Lantana spp.,Annual/Perennial,1-3'+,Full Sun,Low,Well-drained,Summer-frost; multicolor,N/A,Butterflies,"Heat lover, drought tolerant","Hot beds, containers",Low,No,13. Drought Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/LantanaFlowerLeaves.jpg/960px-LantanaFlowerLeaves.jpg
Lavender,Lavandula spp.,Perennial,1-3',Full Sun,Low,"Well-drained, lean",Summer; purple/blue spikes,Silver-green,Pollinators,"Fragrant, drought tolerant","Sunny borders, herb gardens",Low,No,13. Drought Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Single_lavender_flower02.jpg/960px-Single_lavender_flower02.jpg
Yucca,Yucca spp.,Perennial,2-10',Full Sun,Low,"Dry, well-drained",Summer; tall white spikes,Evergreen,Pollinators,"Architectural, extremely drought tolerant","Xeriscape accents, modern gardens",Low,No,13. Drought Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Yucca_elata_-_tmcelrath_01.jpg/960px-Yucca_elata_-_tmcelrath_01.jpg
Little Bluestem,Schizachyrium scoparium,Ornamental Grass,2-3',Full Sun,Low,"Adaptable, well-drained",Inconspicuous,Coppery-orange,Birds,"Native, great fall/winter color","Meadows, modern massing",Low,Yes,13. Drought Tolerant,https://upload.wikimedia.org/wikipedia/commons/4/45/Andropogon_scoparius.jpg
Pink Muhly Grass,Muhlenbergia capillaris,Ornamental Grass,2-3',Full Sun,Low to Moderate,"Well-drained, poor soils OK",Sep-Nov; pink plumes,Tan plumes,Cover,"Native, spectacular fall display","Massing, borders",Low,Yes,13. Drought Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Muhlenbergia_capillaris_001.jpg/960px-Muhlenbergia_capillaris_001.jpg
Prairie Dropseed,Sporobolus heterolepis,Ornamental Grass,2' x 3',Full Sun,Low,Well-drained,Late summer; subtle,Tan,Cover,"Native, fine texture, fragrant","Paths, edging masses",Low,Yes,13. Drought Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Sporobolus_heterolepis_-_Denver_Botanic_Gardens_-_DSC00886.JPG/960px-Sporobolus_heterolepis_-_Denver_Botanic_Gardens_-_DSC00886.JPG
Rosemary,Salvia rosmarinus,Perennial/Herb,1-5',Full Sun,Low,Well-drained,Spring; blue,Evergreen,Pollinators,"Culinary, drought-tough","Hot sunny edges, herb gardens",Low,No,13. Drought Tolerant,https://upload.wikimedia.org/wikipedia/commons/5/5a/Salvia_officinalis0.jpg
Eastern Redcedar,Juniperus virginiana,Evergreen Tree,30-50',Full Sun,Low,"Adaptable, drought tolerant",Winter-spring,Evergreen,Birds,"Native, tough, windbreak","Windbreaks, naturalized",Low,Yes,13. Drought Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Juniperus_virginiana_near_Oxford%2C_Ohio.jpg/960px-Juniperus_virginiana_near_Oxford%2C_Ohio.jpg
Lacebark Elm,Ulmus parvifolia,Shade Tree,30-50',Full Sun,Low to Moderate,Heat/drought tolerant,Late summer,Yellow-reddish,Medium,"Urban tough, exfoliating bark",Urban shade,Low,No,13. Drought Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Chinese_Elm_Ulmus_parvifolia_%2832-0052-A%29_Bark_1.JPG/960px-Chinese_Elm_Ulmus_parvifolia_%2832-0052-A%29_Bark_1.JPG
Ginkgo,Ginkgo biloba,Shade Tree,50-80',Full Sun to Part Shade,Low,Well-drained,Mar-Apr,Brilliant gold,Low-Medium,"Plant males only, very drought tolerant","Street tree, specimen",Low,No,13. Drought Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/GINKGOBAUM-2.jpg/960px-GINKGOBAUM-2.jpg
Bald Cypress,Taxodium distichum,Shade Tree,50-70',Full Sun,Moderate to Low,"Thrives wet, tolerates dry",Spring,Copper/russet,Medium,"Native, adapts wet AND dry","Specimen, stormwater",Low,Yes,13. Drought Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Taxodium_distichum_NRCSMS01010.jpg/960px-Taxodium_distichum_NRCSMS01010.jpg
Dwarf Sweet Flag,Acorus gramineus,Perennial,8-15 in.,Full Sun to Part Shade,High,Wet to moist,Insignificant,Evergreen,Low,"Grass-like, tidy, tolerates wet","Pond edge, rain gardens, borders",Low,No,14. Poolside/Water-Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Acorus_calamus.spadix.jpg/960px-Acorus_calamus.spadix.jpg
Swamp Milkweed,Asclepias incarnata,Perennial,3-5',Full Sun to Part Shade,High,Moist/wet,Summer; pink,Deciduous,Monarch host,"Native, great rain-garden plant","Low spots, pollinator beds",Low,Yes,14. Poolside/Water-Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Danaus_plexippus_on_Asclepias_incarnata_4999.jpg/960px-Danaus_plexippus_on_Asclepias_incarnata_4999.jpg
Astilbe,Astilbe x arendsii,Perennial,1-3',Part Shade to Shade,Moderate to High,"Organic-rich, moist",Late spring-summer; pink/red/white plumes,Deciduous,Pollinators,Shade + moisture classic,"Shaded pool corners, beds",Low,No,14. Poolside/Water-Tolerant,https://upload.wikimedia.org/wikipedia/commons/e/e8/Astilbe_arendsii1.jpg
Turtlehead,Chelone spp.,Perennial,2-4',Part Shade,High,Moist,Late summer; pink/white,Deciduous,Pollinators,"Native, late-season color in moist areas","Rain gardens, moist borders",Low,Yes,14. Poolside/Water-Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Chelone_glabra_002.JPG/960px-Chelone_glabra_002.JPG
Canna,Canna spp.,Annual/Tropical,3-6'+,Full Sun,Moderate to High,"Moist, rich",Summer; bold red/yellow/orange flowers,Tropical foliage,Hummingbirds,"Tropical look, heat-loving","Poolside focal points, beds",Medium,No,14. Poolside/Water-Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Canna_sp.jpg/960px-Canna_sp.jpg
Joe-Pye Weed,Eutrochium spp.,Perennial,4-7',Full Sun to Part Shade,Moderate to High,Moist,Late summer; mauve,Deciduous,Pollinators,"Native, big impact","Back of borders, rain gardens",Low,Yes,14. Poolside/Water-Tolerant,https://upload.wikimedia.org/wikipedia/commons/7/7e/Joe_Pye_5426.JPG
Cardinal Flower,Lobelia cardinalis,Perennial,2-4',Part Shade,High,Moist/wet,Summer; brilliant red,Deciduous,Hummingbirds,"Native, vivid red, loves moisture","Stream edges, rain gardens",Medium,Yes,14. Poolside/Water-Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Lobelia_%28aka%29.jpg/960px-Lobelia_%28aka%29.jpg
Blue Lobelia,Lobelia siphilitica,Perennial,2-3',Part Shade,High,Moist,Late summer; blue,Deciduous,Pollinators,"Native, reliable in moist soil",Rain gardens,Low,Yes,14. Poolside/Water-Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Lobelia_%28aka%29.jpg/960px-Lobelia_%28aka%29.jpg
Royal Fern,Osmunda regalis,Perennial,3-6',Part Shade to Shade,High,Moist/wet,Fern,Deciduous,Cover habitat,"Native, big elegant fern","Moist shade, pool shade edges",Low,Yes,14. Poolside/Water-Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/OsmundaRegalis.jpg/960px-OsmundaRegalis.jpg
Cinnamon Fern,Osmundastrum cinnamomeum,Perennial,2-4',Part Shade to Shade,High,Moist/wet,Fern,Deciduous,Cover habitat,"Native, wet-site fern",Moist woodland edges,Low,Yes,14. Poolside/Water-Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Osmundastrum_cinnamomeum_May2015.jpg/960px-Osmundastrum_cinnamomeum_May2015.jpg
Inkberry Holly,Ilex glabra,Evergreen Shrub,3-8',Full Sun to Part Shade,Moderate to High,"Moist, acidic",Inconspicuous; berries,Evergreen,Birds,"Native, evergreen for wet areas","Screens near wet areas, foundation",Low,Yes,14. Poolside/Water-Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Ilex_glabra.png/960px-Ilex_glabra.png
Buttonbush,Cephalanthus occidentalis,Native Shrub,6-12',Full Sun to Part Shade,High,Wet,Summer; white spheres,Deciduous,"Pollinators, birds","Native, excellent wet-site shrub","Rain gardens, pond edges",Low,Yes,14. Poolside/Water-Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Buttonbush_in_the_Everglades.jpg/960px-Buttonbush_in_the_Everglades.jpg
Virginia Sweetspire,Itea virginica,Native Shrub,3-6',Full Sun to Part Shade,Moderate to High,"Moist, adaptable",Spring; white racemes,Red/garnet (excellent),Pollinators,"Native, great fall color, tolerates wet","Moist foundations, borders",Low,Yes,14. Poolside/Water-Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Itea_virginica_flowers_001.JPG/960px-Itea_virginica_flowers_001.JPG
Switchgrass,Panicum virgatum,Ornamental Grass,3-6',Full Sun,Moderate to High,Tolerates clay/wet,Jul-Feb; pink panicles,Yellow/orange,Bird seed,"Native, rain garden grass","Rain gardens, pool area massing",Low,Yes,14. Poolside/Water-Tolerant,https://upload.wikimedia.org/wikipedia/commons/7/7a/Panicum_virgatum.jpg
River Birch,Betula nigra,Shade Tree,30-60',Full Sun to Part Shade,Moderate,"Acidic, moist, tolerates wet",Spring catkins,Pale yellow,Medium,"Native, exfoliating bark, tolerates wet",Multi-trunk specimen near water,Low,Yes,14. Poolside/Water-Tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/River_Birch_Betula_nigra_Horizontal.JPG/960px-River_Birch_Betula_nigra_Horizontal.JPG
Hellebore / Lenten Rose,Helleborus x hybridus,Perennial,1-2',Part Shade to Shade,Moderate,Well-drained + organic,Late winter-spring; many colors,Evergreen,Early pollinators,"Evergreen, deer resistant, winter bloom","Shade borders, winter interest",Low,No,15. Shade-Loving Plants,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Bloem_van_een_kerstroos_%28Helleborus_niger%29_16-12-2021._%28d.j.b%29_02.jpg/960px-Bloem_van_een_kerstroos_%28Helleborus_niger%29_16-12-2021._%28d.j.b%29_02.jpg
Hosta,Hosta spp.,Perennial,0.5-2.5'+,Part Shade to Full Shade,Moderate,"Rich, moist, well-drained",Summer; white/lavender,Deciduous,Limited,"Premier shade foliage, hundreds of cultivars","Shade beds, under trees, edging",Low,No,15. Shade-Loving Plants,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Hosta_Bressingham_Blue.JPG/960px-Hosta_Bressingham_Blue.JPG
Astilbe,Astilbe spp.,Perennial,1-3',Part Shade to Shade,Moderate to High,"Moist, organic",Late spring-summer; pink/red/white plumes,Deciduous,Pollinators,"Needs moisture, feathery plumes","Shade color, near water",Low,No,15. Shade-Loving Plants,https://upload.wikimedia.org/wikipedia/commons/e/e8/Astilbe_arendsii1.jpg
Christmas Fern,Polystichum acrostichoides,Perennial,1-2',Part Shade to Shade,Moderate,"Organic, well-drained",Fern,Evergreen,Habitat,"Native, evergreen fern",Woodland gardens,Low,Yes,15. Shade-Loving Plants,https://upload.wikimedia.org/wikipedia/commons/5/57/Polystichum_setiferum0.jpg
Autumn Fern,Dryopteris erythrosora,Perennial,1-3',Part Shade to Shade,Moderate to Low,"Organic, well-drained",Fern,Semi-evergreen,Habitat,Copper new growth,Shade borders,Low,No,15. Shade-Loving Plants,https://upload.wikimedia.org/wikipedia/commons/4/40/Dryopteris_filix_mas_nf.jpg
Royal Fern,Osmunda regalis,Perennial,3-6',Part Shade to Shade,High,Moist/wet,Fern,Deciduous,Habitat,"Native, architectural fern",Moist shade features,Low,Yes,15. Shade-Loving Plants,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/OsmundaRegalis.jpg/960px-OsmundaRegalis.jpg
Cast Iron Plant,Aspidistra elatior,Ground Cover,1-2.5',Shade to Deep Shade,Moderate to Low,Adaptable,Minimal,Evergreen,Low,Extremely tough deep shade,Deep shade structure,Low,No,15. Shade-Loving Plants,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Aspidistra_elatior1.jpg/960px-Aspidistra_elatior1.jpg
Barrenwort,Epimedium spp.,Ground Cover,6-18 in.,Shade to Part Shade,Moderate to Low,Organic,Spring; delicate,Semi-evergreen,Pollinators,Excellent dry shade groundcover,Under trees,Low,No,15. Shade-Loving Plants,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Elfenblume_%28Epimedium_x_versicolor%29.jpg/960px-Elfenblume_%28Epimedium_x_versicolor%29.jpg
Green-and-Gold,Chrysogonum virginianum,Ground Cover,4-12 in.,Part Shade to Shade,Moderate,Average,Spring; yellow,Semi-evergreen,Pollinators,Native shade groundcover,"Shade beds, woodland edge",Low,Yes,15. Shade-Loving Plants,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Green_and_Gold_Chrysogonum_virginianum_Flower_3008.jpg/960px-Green_and_Gold_Chrysogonum_virginianum_Flower_3008.jpg
Sweet Woodruff,Galium odoratum,Ground Cover,6-12 in.,Shade to Part Shade,Moderate,"Organic, moist",Spring; white,Deciduous,Pollinators,Fragrant foliage,Woodland carpet,Low,No,15. Shade-Loving Plants,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Waldmeister%28Mai%29.JPG/960px-Waldmeister%28Mai%29.JPG
Coral Bells,Heuchera spp.,Perennial,1-2',Morning Sun/Afternoon Shade,Moderate,Well-drained + organic,Spring-summer; airy spikes,Often evergreen,Pollinators,Outstanding foliage colors,"Shade borders, containers",Low,No,15. Shade-Loving Plants,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/San_Gabriel_Mountains_coralbells.jpg/960px-San_Gabriel_Mountains_coralbells.jpg
Japanese Painted Fern,Athyrium niponicum 'Pictum',Perennial,1-1.5',Part Shade to Shade,Moderate,"Moist, organic",Fern,Deciduous,Habitat,"Silver-purple fronds, shade standout",Shade focal point,Low,No,15. Shade-Loving Plants,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Athyrium_filix-femina0.jpg/960px-Athyrium_filix-femina0.jpg
Caladium,Caladium spp.,Annual,1-2',Part Shade to Shade,Moderate,"Rich, moist",Foliage plant,Bold leaf patterns,Minimal,Heat-loving shade plant,"Shade massing, pots",Low,No,15. Shade-Loving Plants,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Caladium_schomburgkii_changjur-1-yercaud-salem-India.JPG/960px-Caladium_schomburgkii_changjur-1-yercaud-salem-India.JPG
Coleus,Coleus (syn. Solenostemon),Annual,1-3',Part Shade to Full Sun,Moderate,"Rich, well-drained",Foliage plant,Excellent foliage color,Minimal,Best summer shade foliage color,"Shade beds, containers",Low,No,15. Shade-Loving Plants,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Leaf_-pani_koorkka.JPG/960px-Leaf_-pani_koorkka.JPG
Partridgeberry,Mitchella repens,Ground Cover,1-2 in. mat,Shade to Part Shade,Moderate,"Acidic, organic, moist",Spring; white/pink; red berries,Evergreen,"Birds, wildlife","Native, tiny evergreen creeper",Woodland groundcover,Low,Yes,15. Shade-Loving Plants,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Mitchella_repens_Partridge_berry_Norfolk_Connecticut_05112019.jpg/960px-Mitchella_repens_Partridge_berry_Norfolk_Connecticut_05112019.jpg
